# DPlus_Hosts.txt downloaded from http://www.pistar.uk/downloads/DPlus_Hosts.txt
# DPlus Hosts resolved from dstargateway.org DNS, with additional hosts
# sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistar/
# File created at Friday 30th of March 2018 03:12:12 AM BST
OZ1REC	85.191.188.56
OZ2REE	176.21.189.181
OZ2REG	80.62.116.136
OZ2REM	212.98.114.58
OZ2REX	87.59.85.22
OZ3DSR	212.10.144.52
OZ3REQ	130.225.2.3
OZ3REY	80.62.116.115
OZ4REN	83.90.173.65
OZ6DST	77.68.172.7
OZ7DSD	62.242.112.138
OZ7REL	62.44.135.215
OZ7RET	80.62.116.219
OZ9AFZ	185.109.76.192
OZ9RET	87.55.119.111
OZ9REZ	194.255.84.2
PI1CJP	83.87.195.38
PI1DHD	94.211.247.46
PI1DHR	213.125.176.138
PI1DSE	88.159.83.58
PI1HGL	83.85.108.198
PI1MEP	44.137.69.19
PI1RYS	44.137.37.37
PI1SHA	84.83.171.182
PI1SNK	145.129.86.235
PI1UTR	44.137.72.10
PJ2A	190.112.246.172
PT2DV	201.87.243.130
PY1EGR	201.19.130.212
PY2KBH	177.56.25.92
PY2KCA	200.231.36.200
PY2KJP	189.28.159.114
PY2KPE	177.38.42.86
PY4RFM	138.185.22.130
PY7DIG	179.185.30.241
S55DLJ	90.157.180.200
S55DMX	164.8.106.109
S55DSE	46.163.28.95
S55DZA	88.200.95.123
S55DZV	193.77.169.245
SE0S	193.150.254.146
SE3XCH	80.170.79.168
SG0AHH	2.248.47.171
SG0BON	90.227.39.60
SG4AXV	90.231.44.187
SG4MKF	78.73.22.139
SG4UOF	77.53.38.251
SG4UZM	44.140.131.52
SG4VBO	155.4.32.228
SG5DV	85.227.70.151
SG5EWE	77.218.250.185
SG6JWU	176.10.223.2
SG7HTP	46.162.115.187
SG7IKJ	213.66.79.158
SG7WDL	94.255.137.118
SG7WSE	176.64.150.36
SG9NN	37.2.86.29
SI9AM	44.140.102.134
SK0AI	5.150.225.10
SK0FR	83.251.213.112
SK0MQ	83.251.214.239
SK0RMT	44.140.13.5
SK2AT	80.244.89.169
SK3GY	90.236.121.66
SK3LH	46.230.233.3
SK3PH	81.170.251.56
SK3RHU	95.143.207.93
SK4RGL	44.140.130.7
SK5UM	78.72.193.239
SK6BA	78.72.45.233
SK6DZ	31.31.162.140
SK6EP	31.208.171.140
SK6IF	2.67.115.119
SK6MA	2.64.200.89
SK6RKG	155.4.210.31
SK6SA	213.101.74.80
SK7BS	44.140.236.21
SK7DS	77.107.16.178
SK7ES	44.140.236.50
SK7RDS	46.230.239.7
SK7RGM	46.195.143.225
SK7RNQ	85.30.164.129
SK7RQX	77.53.214.14
SK7RRV	81.170.157.133
SK7RSR	46.162.115.29
SL2ZA	44.140.236.90
SL5ZYT	44.140.163.21
SR1UVS	185.71.241.179
SR2UVG	178.182.231.10
SR2UVO	77.91.9.87
SR2UVV	193.188.198.80
SR2VVV	193.188.198.121
SR3UVL	89.68.45.131
SR3ZX	31.179.247.147
SR4KT	83.12.19.77
SR4UBI	109.231.36.129
SR4UVD	213.73.1.97
SR4UVM	213.73.1.95
SR4UVN	82.160.168.159
SR5RK	212.2.124.66
SR5UOS	194.50.158.122
SR5UVA	185.28.103.77
SR5UVR	193.111.146.160
SR5WC	195.137.246.150
SR5YAM	193.192.62.74
SR5YM	178.42.251.221
SR6AA	87.206.186.235
SR6DMR	79.190.47.27
SR6UKB	46.231.77.40
SR6UPK	192.162.98.59
SR6UVO	79.162.252.86
SR6UVX	213.199.207.199
SR6UVY	109.207.61.1
SR7LDZ	217.113.226.137
SR7ULM	217.113.226.137
SR7USC	93.105.207.178
SR7UVK	46.45.109.210
SR8UVC	185.237.161.170
SR8UVL	46.21.222.34
SR8UVP	212.2.124.234
SR8UWD	94.246.175.66
SR9CZ	193.93.90.190
SR9DV	79.191.5.88
SR9KR	37.47.73.248
SR9UV	89.174.117.157
SR9UVP	85.190.240.120
SR9UVZ	178.23.105.134
SR9VVO	89.234.226.126
SV1P	2.87.23.59
SV2H	46.12.245.41
SV2Q	87.202.27.185
SV3G	83.212.248.94
SV8S	85.75.91.81
SV9K	85.72.39.67
SW1I	178.59.23.138
SW2A	79.107.195.130
T79DV	77.242.223.37
TF3RPI	194.144.104.195
V53W	41.182.27.235
VA2LX	45.42.113.76
VA2REX	207.35.36.178
VA2RIQ	162.156.231.105
VA2RKA	199.91.244.166
VA2RKB	205.173.252.251
VA2RMP	148.59.220.188
VA2RNJ	70.50.145.74
VA2RVO	207.253.107.5
VA2XNY	206.47.252.157
VA3DVN	99.243.82.197
VA3ODG	64.179.223.221
VA3RDD	74.15.69.228
VA5DR	128.233.238.66
VA6MEO	68.147.44.248
VA6SRG	162.157.114.107
VA7REF	24.86.6.163
VE1DNR	47.55.201.14
VE2CSA	142.118.80.27
VE2CST	192.99.111.170
VE2FCT	173.177.48.60
VE2QE	70.50.153.42
VE2REX	209.226.17.162
VE2RHH	65.94.254.232
VE2RQF	70.82.65.122
VE2RQT	132.203.129.20
VE2RTO	148.59.220.178
VE2RVI	104.192.17.255
VE2SEW	184.148.253.124
VE2SKG	74.210.128.22
VE2VPS	66.159.41.113
VE3DSL	208.114.128.80
VE3EBX	99.228.74.129
VE3FCD	99.237.33.210
VE3NMN	97.107.59.241
VE3RIG	69.165.140.101
VE3RSB	184.151.179.183
VE3STP	104.245.3.63
VE3XBT	184.145.34.164
VE3YRK	66.159.121.4
VE5MBX	24.72.17.36
VE6IPG	68.147.36.169
VE6JKB	108.173.190.73
VE6KM	69.196.80.40
VE6MHD	198.53.218.88
VE6WRE	68.146.12.60
VE7RES	184.70.240.254
VE7RMR	216.13.198.52
VK1RWN	43.225.61.4
VK2RAG	202.3.37.157
VK2RCW	1.42.93.157
VK2RWN	112.213.33.196
VK3RMM	123.209.194.124
VK4RBD	110.141.198.177
VK4RBX	203.201.137.251
VK4RDK	124.186.103.102
VK4RRC	149.135.18.141
VK4RUS	103.102.229.98
VK7RCR	103.251.175.56
VK7RRR	118.208.225.103
VY1RDS	174.90.251.92
VY2CFB	96.30.171.235
VY2DSR	96.30.161.195
W0QEY	129.82.254.231
W0ZWY	184.169.107.74
W1BCG	199.241.247.2
W1CDG	24.147.116.162
W1CNH	24.233.121.226
W1HDN	72.87.88.45
W1MRA	173.48.14.144
W1NLK	170.77.124.128
W1VN	64.223.67.220
W2ECA	163.151.247.12
W2XRX	70.195.128.75
W3DHS	69.140.91.192
W3DRA	69.242.93.85
W4BRM	71.191.83.66
W4GSO	98.101.176.110
W4GWM	64.234.103.45
W4IAX	72.151.169.108
W4VLD	173.27.106.251
W5AW	208.68.71.94
W5DRA	75.66.21.213
W5SLA	71.8.102.51
W5TC	129.15.109.18
W5WIN	24.162.194.195
